Date,GDP,Economic growth rate
2017-03-04,433086,3.1
2017-03-05,433086,3.1
2017-03-06,433086,3.1
2017-03-07,433086,3.1
2017-03-08,433086,3.1
2017-03-09,433086,3.1
2017-03-10,433086,3.1
2017-03-11,433086,3.1
2017-03-12,433086,3.1
2017-03-13,433086,3.1
2017-03-14,433086,3.1
2017-03-15,433086,3.1
2017-03-16,433086,3.1
2017-03-17,433086,3.1
2017-03-18,433086,3.1
2017-03-19,433086,3.1
2017-03-20,433086,3.1
2017-03-21,433086,3.1
2017-03-22,433086,3.1
2017-03-23,433086,3.1
2017-03-24,433086,3.1
2017-03-25,433086,3.1
2017-03-26,433086,3.1
2017-03-27,433086,3.1
2017-03-28,433086,3.1
2017-03-29,433086,3.1
2017-03-30,433086,3.1
2017-03-31,433086,3.1
2017-04-01,454227,2.8
2017-04-02,454227,2.8
2017-04-03,454227,2.8
2017-04-04,454227,2.8
2017-04-05,454227,2.8
2017-04-06,454227,2.8
2017-04-07,454227,2.8
2017-04-08,454227,2.8
2017-04-09,454227,2.8
2017-04-10,454227,2.8
2017-04-11,454227,2.8
2017-04-12,454227,2.8
2017-04-13,454227,2.8
2017-04-14,454227,2.8
2017-04-15,454227,2.8
2017-04-16,454227,2.8
2017-04-17,454227,2.8
2017-04-18,454227,2.8
2017-04-19,454227,2.8
2017-04-20,454227,2.8
2017-04-21,454227,2.8
2017-04-22,454227,2.8
2017-04-23,454227,2.8
2017-04-24,454227,2.8
2017-04-25,454227,2.8
2017-04-26,454227,2.8
2017-04-27,454227,2.8
2017-04-28,454227,2.8
2017-04-29,454227,2.8
2017-04-30,454227,2.8
2017-05-01,454227,2.8
2017-05-02,454227,2.8
2017-05-03,454227,2.8
2017-05-04,454227,2.8
2017-05-05,454227,2.8
2017-05-06,454227,2.8
2017-05-07,454227,2.8
2017-05-08,454227,2.8
2017-05-09,454227,2.8
2017-05-10,454227,2.8
2017-05-11,454227,2.8
2017-05-12,454227,2.8
2017-05-13,454227,2.8
2017-05-14,454227,2.8
2017-05-15,454227,2.8
2017-05-16,454227,2.8
2017-05-17,454227,2.8
2017-05-18,454227,2.8
2017-05-19,454227,2.8
2017-05-20,454227,2.8
2017-05-21,454227,2.8
2017-05-22,454227,2.8
2017-05-23,454227,2.8
2017-05-24,454227,2.8
2017-05-25,454227,2.8
2017-05-26,454227,2.8
2017-05-27,454227,2.8
2017-05-28,454227,2.8
2017-05-29,454227,2.8
2017-05-30,454227,2.8
2017-05-31,454227,2.8
2017-06-01,454227,2.8
2017-06-02,454227,2.8
2017-06-03,454227,2.8
2017-06-04,454227,2.8
2017-06-05,454227,2.8
2017-06-06,454227,2.8
2017-06-07,454227,2.8
2017-06-08,454227,2.8
2017-06-09,454227,2.8
2017-06-10,454227,2.8
2017-06-11,454227,2.8
2017-06-12,454227,2.8
2017-06-13,454227,2.8
2017-06-14,454227,2.8
2017-06-15,454227,2.8
2017-06-16,454227,2.8
2017-06-17,454227,2.8
2017-06-18,454227,2.8
2017-06-19,454227,2.8
2017-06-20,454227,2.8
2017-06-21,454227,2.8
2017-06-22,454227,2.8
2017-06-23,454227,2.8
2017-06-24,454227,2.8
2017-06-25,454227,2.8
2017-06-26,454227,2.8
2017-06-27,454227,2.8
2017-06-28,454227,2.8
2017-06-29,454227,2.8
2017-06-30,454227,2.8
2017-07-01,473428,3.9
2017-07-02,473428,3.9
2017-07-03,473428,3.9
2017-07-04,473428,3.9
2017-07-05,473428,3.9
2017-07-06,473428,3.9
2017-07-07,473428,3.9
2017-07-08,473428,3.9
2017-07-09,473428,3.9
2017-07-10,473428,3.9
2017-07-11,473428,3.9
2017-07-12,473428,3.9
2017-07-13,473428,3.9
2017-07-14,473428,3.9
2017-07-15,473428,3.9
2017-07-16,473428,3.9
2017-07-17,473428,3.9
2017-07-18,473428,3.9
2017-07-19,473428,3.9
2017-07-20,473428,3.9
2017-07-21,473428,3.9
2017-07-22,473428,3.9
2017-07-23,473428,3.9
2017-07-24,473428,3.9
2017-07-25,473428,3.9
2017-07-26,473428,3.9
2017-07-27,473428,3.9
2017-07-28,473428,3.9
2017-07-29,473428,3.9
2017-07-30,473428,3.9
2017-07-31,473428,3.9
2017-08-01,473428,3.9
2017-08-02,473428,3.9
2017-08-03,473428,3.9
2017-08-04,473428,3.9
2017-08-05,473428,3.9
2017-08-06,473428,3.9
2017-08-07,473428,3.9
2017-08-08,473428,3.9
2017-08-09,473428,3.9
2017-08-10,473428,3.9
2017-08-11,473428,3.9
2017-08-12,473428,3.9
2017-08-13,473428,3.9
2017-08-14,473428,3.9
2017-08-15,473428,3.9
2017-08-16,473428,3.9
2017-08-17,473428,3.9
2017-08-18,473428,3.9
2017-08-19,473428,3.9
2017-08-20,473428,3.9
2017-08-21,473428,3.9
2017-08-22,473428,3.9
2017-08-23,473428,3.9
2017-08-24,473428,3.9
2017-08-25,473428,3.9
2017-08-26,473428,3.9
2017-08-27,473428,3.9
2017-08-28,473428,3.9
2017-08-29,473428,3.9
2017-08-30,473428,3.9
2017-08-31,473428,3.9
2017-09-01,473428,3.9
2017-09-02,473428,3.9
2017-09-03,473428,3.9
2017-09-04,473428,3.9
2017-09-05,473428,3.9
2017-09-06,473428,3.9
2017-09-07,473428,3.9
2017-09-08,473428,3.9
2017-09-09,473428,3.9
2017-09-10,473428,3.9
2017-09-11,473428,3.9
2017-09-12,473428,3.9
2017-09-13,473428,3.9
2017-09-14,473428,3.9
2017-09-15,473428,3.9
2017-09-16,473428,3.9
2017-09-17,473428,3.9
2017-09-18,473428,3.9
2017-09-19,473428,3.9
2017-09-20,473428,3.9
2017-09-21,473428,3.9
2017-09-22,473428,3.9
2017-09-23,473428,3.9
2017-09-24,473428,3.9
2017-09-25,473428,3.9
2017-09-26,473428,3.9
2017-09-27,473428,3.9
2017-09-28,473428,3.9
2017-09-29,473428,3.9
2017-09-30,473428,3.9
2017-10-01,474958,2.9
