date,Export amount,Export growth rate,Import amount,Import growth rate
2016-01-11,"40,257,000",11.0,"37,645,403",20.2
2016-01-12,"40,257,000",11.0,"37,645,403",20.2
2016-01-13,"40,257,000",11.0,"37,645,403",20.2
2016-01-14,"40,257,000",11.0,"37,645,403",20.2
2016-01-15,"40,257,000",11.0,"37,645,403",20.2
2016-01-16,"40,257,000",11.0,"37,645,403",20.2
2016-01-17,"40,257,000",11.0,"37,645,403",20.2
2016-01-18,"40,257,000",11.0,"37,645,403",20.2
2016-01-19,"40,257,000",11.0,"37,645,403",20.2
2016-01-20,"40,257,000",11.0,"37,645,403",20.2
2016-01-21,"40,257,000",11.0,"37,645,403",20.2
2016-01-22,"40,257,000",11.0,"37,645,403",20.2
2016-01-23,"40,257,000",11.0,"37,645,403",20.2
2016-01-24,"40,257,000",11.0,"37,645,403",20.2
2016-01-25,"40,257,000",11.0,"37,645,403",20.2
2016-01-26,"40,257,000",11.0,"37,645,403",20.2
2016-01-27,"40,257,000",11.0,"37,645,403",20.2
2016-01-28,"40,257,000",11.0,"37,645,403",20.2
2016-01-29,"40,257,000",11.0,"37,645,403",20.2
2016-01-30,"40,257,000",11.0,"37,645,403",20.2
2016-01-31,"40,257,000",11.0,"37,645,403",20.2
2016-02-01,"43,166,536",20.2,"36,203,282",24.1
2016-02-02,"43,166,536",20.2,"36,203,282",24.1
2016-02-03,"43,166,536",20.2,"36,203,282",24.1
2016-02-04,"43,166,536",20.2,"36,203,282",24.1
2016-02-05,"43,166,536",20.2,"36,203,282",24.1
2016-02-06,"43,166,536",20.2,"36,203,282",24.1
2016-02-07,"43,166,536",20.2,"36,203,282",24.1
2016-02-08,"43,166,536",20.2,"36,203,282",24.1
2016-02-09,"43,166,536",20.2,"36,203,282",24.1
2016-02-10,"43,166,536",20.2,"36,203,282",24.1
2016-02-11,"43,166,536",20.2,"36,203,282",24.1
2016-02-12,"43,166,536",20.2,"36,203,282",24.1
2016-02-13,"43,166,536",20.2,"36,203,282",24.1
2016-02-14,"43,166,536",20.2,"36,203,282",24.1
2016-02-15,"43,166,536",20.2,"36,203,282",24.1
2016-02-16,"43,166,536",20.2,"36,203,282",24.1
2016-02-17,"43,166,536",20.2,"36,203,282",24.1
2016-02-18,"43,166,536",20.2,"36,203,282",24.1
2016-02-19,"43,166,536",20.2,"36,203,282",24.1
2016-02-20,"43,166,536",20.2,"36,203,282",24.1
2016-02-21,"43,166,536",20.2,"36,203,282",24.1
2016-02-22,"43,166,536",20.2,"36,203,282",24.1
2016-02-23,"43,166,536",20.2,"36,203,282",24.1
2016-02-24,"43,166,536",20.2,"36,203,282",24.1
2016-02-25,"43,166,536",20.2,"36,203,282",24.1
2016-02-26,"43,166,536",20.2,"36,203,282",24.1
2016-02-27,"43,166,536",20.2,"36,203,282",24.1
2016-02-28,"43,166,536",20.2,"36,203,282",24.1
2016-02-29,"43,166,536",20.2,"36,203,282",24.1
2016-03-01,"48,637,832",13.1,"42,579,492",27.7
2016-03-02,"48,637,832",13.1,"42,579,492",27.7
2016-03-03,"48,637,832",13.1,"42,579,492",27.7
2016-03-04,"48,637,832",13.1,"42,579,492",27.7
2016-03-05,"48,637,832",13.1,"42,579,492",27.7
2016-03-06,"48,637,832",13.1,"42,579,492",27.7
2016-03-07,"48,637,832",13.1,"42,579,492",27.7
2016-03-08,"48,637,832",13.1,"42,579,492",27.7
2016-03-09,"48,637,832",13.1,"42,579,492",27.7
2016-03-10,"48,637,832",13.1,"42,579,492",27.7
2016-03-11,"48,637,832",13.1,"42,579,492",27.7
2016-03-12,"48,637,832",13.1,"42,579,492",27.7
2016-03-13,"48,637,832",13.1,"42,579,492",27.7
2016-03-14,"48,637,832",13.1,"42,579,492",27.7
2016-03-15,"48,637,832",13.1,"42,579,492",27.7
2016-03-16,"48,637,832",13.1,"42,579,492",27.7
2016-03-17,"48,637,832",13.1,"42,579,492",27.7
2016-03-18,"48,637,832",13.1,"42,579,492",27.7
2016-03-19,"48,637,832",13.1,"42,579,492",27.7
2016-03-20,"48,637,832",13.1,"42,579,492",27.7
2016-03-21,"48,637,832",13.1,"42,579,492",27.7
2016-03-22,"48,637,832",13.1,"42,579,492",27.7
2016-03-23,"48,637,832",13.1,"42,579,492",27.7
2016-03-24,"48,637,832",13.1,"42,579,492",27.7
2016-03-25,"48,637,832",13.1,"42,579,492",27.7
2016-03-26,"48,637,832",13.1,"42,579,492",27.7
2016-03-27,"48,637,832",13.1,"42,579,492",27.7
2016-03-28,"48,637,832",13.1,"42,579,492",27.7
2016-03-29,"48,637,832",13.1,"42,579,492",27.7
2016-03-30,"48,637,832",13.1,"42,579,492",27.7
2016-03-31,"48,637,832",13.1,"42,579,492",27.7
2016-04-01,"50,843,799",23.8,"37,959,391",17.2
2016-04-02,"50,843,799",23.8,"37,959,391",17.2
2016-04-03,"50,843,799",23.8,"37,959,391",17.2
2016-04-04,"50,843,799",23.8,"37,959,391",17.2
2016-04-05,"50,843,799",23.8,"37,959,391",17.2
2016-04-06,"50,843,799",23.8,"37,959,391",17.2
2016-04-07,"50,843,799",23.8,"37,959,391",17.2
2016-04-08,"50,843,799",23.8,"37,959,391",17.2
2016-04-09,"50,843,799",23.8,"37,959,391",17.2
2016-04-10,"50,843,799",23.8,"37,959,391",17.2
2016-04-11,"50,843,799",23.8,"37,959,391",17.2
2016-04-12,"50,843,799",23.8,"37,959,391",17.2
2016-04-13,"50,843,799",23.8,"37,959,391",17.2
2016-04-14,"50,843,799",23.8,"37,959,391",17.2
2016-04-15,"50,843,799",23.8,"37,959,391",17.2
2016-04-16,"50,843,799",23.8,"37,959,391",17.2
2016-04-17,"50,843,799",23.8,"37,959,391",17.2
